OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Workers_16_and_older,Drove_alone,Carpool,Public_Transportation,Walked,Other_Means,Non_SOV_Commuters,Pct_Non_SOV_Commuters,GlobalID,Shape__Area,Shape__Length
4173,37,119,003300,1,371190033001,Block Group 1,0016328,"Block Group 1, Census Tract 33, Mecklenburg County, North Carolina",947,905,43,10,54,21,125,0.13199578,a0a8204b-eb6b-4ea7-95fd-2825aa1b805e,9958977.52404785,12824.9091466429
4174,37,119,000900,2,371190009002,Block Group 2,0016148,"Block Group 2, Census Tract 9, Mecklenburg County, North Carolina",656,646,44,49,0,0,192,0.29268293,7939b769-56da-4280-bd27-9f344006d51e,6085113.39611816,17004.5995513009
4175,37,119,006302,3,371190063023,Block Group 3,0016665,"Block Group 3, Census Tract 63.02, Mecklenburg County, North Carolina",1333,1206,137,26,0,0,281,0.2108027,56f55feb-b252-4fd8-ad3d-8278844cac28,164611611.668152,62869.3547803799
4176,37,119,005514,1,371190055141,Block Group 1,0016434,"Block Group 1, Census Tract 55.14, Mecklenburg County, North Carolina",1361,1215,71,0,0,0,277,0.20352682,c7a353cd-c3cb-425c-8f45-74521c233912,14169048.8725586,16908.0912857825
4177,37,119,005831,1,371190058311,Block Group 1,0016544,"Block Group 1, Census Tract 58.31, Mecklenburg County, North Carolina",1440,1111,175,20,55,0,415,0.28819444,c556be90-970a-4d71-b4f4-d042b86b5ab6,16781027.3415527,17901.9117963187
4178,37,119,004302,2,371190043022,Block Group 2,0016374,"Block Group 2, Census Tract 43.02, Mecklenburg County, North Carolina",1289,983,114,200,24,64,449,0.34833204,f52758c8-9d0c-4af0-84fd-f44423274f8d,17850241.1490479,24481.4186401797
4179,37,119,005710,2,371190057102,Block Group 2,0016499,"Block Group 2, Census Tract 57.10, Mecklenburg County, North Carolina",992,885,107,21,7,0,296,0.2983871,a4af29ce-5666-4a3c-931c-6f19a04a0eed,10710679.4713135,15828.2996715821
4180,37,119,003802,3,371190038023,Block Group 3,0016345,"Block Group 3, Census Tract 38.02, Mecklenburg County, North Carolina",35,19,1,13,0,0,16,0.45714286,1e22f5b5-a3d7-4818-8dff-973a73fb88b1,36687844.2548218,36151.732665398
4181,37,119,005841,2,371190058412,Block Group 2,0016566,"Block Group 2, Census Tract 58.41, Mecklenburg County, North Carolina",472,476,0,0,0,0,4,0.00847458,e109febd-fa96-445a-85f3-ab9a22aec4a1,3574727.45446777,11485.6262987311
4182,37,119,002300,1,371190023001,Block Group 1,0016249,"Block Group 1, Census Tract 23, Mecklenburg County, North Carolina",216,213,18,12,13,4,63,0.29166667,ebc3ea22-5692-44b0-9a4b-ede90a0e9531,3682431.02282715,8363.62341281103
4183,37,119,005714,1,371190057141,Block Group 1,0016507,"Block Group 1, Census Tract 57.14, Mecklenburg County, North Carolina",1187,1026,87,0,0,14,181,0.15248526,a6599014-fc30-4372-88f0-c9fdff0ccb23,127629761.154358,51487.5618958999
4184,37,119,001507,2,371190015072,Block Group 2,0016167,"Block Group 2, Census Tract 15.07, Mecklenburg County, North Carolina",715,545,100,0,6,10,238,0.33286713,f940ab72-389c-49dc-b464-3d21fde9c924,8580266.20788574,13554.8488277844
4185,37,119,001915,3,371190019153,Block Group 3,0016211,"Block Group 3, Census Tract 19.15, Mecklenburg County, North Carolina",681,539,85,10,0,0,375,0.55066079,b1f3a227-171d-4a81-a899-ae6455b0449a,3928426.90447998,8496.96244300368
4186,37,119,006010,4,371190060104,Block Group 4,0016625,"Block Group 4, Census Tract 60.10, Mecklenburg County, North Carolina",559,512,33,13,0,0,103,0.1842576,ccbbb5b6-6cbf-4ced-8cf3-d38f67084c99,29046398.9492188,27653.6948297436
4187,37,119,003400,2,371190034002,Block Group 2,0016332,"Block Group 2, Census Tract 34, Mecklenburg County, North Carolina",682,628,40,5,0,13,90,0.13196481,d3a104f5-5ffc-43f1-ae63-f7757d9ff70f,4695358.27441406,9110.72072390592
4188,37,119,003103,3,371190031033,Block Group 3,0016312,"Block Group 3, Census Tract 31.03, Mecklenburg County, North Carolina",184,269,0,0,0,0,92,0.5,76bddd70-5c98-4025-a0f6-fe28a3ba5182,8215990.050354,12336.2509104137
4189,37,119,006204,4,371190062044,Block Group 4,0016646,"Block Group 4, Census Tract 62.04, Mecklenburg County, North Carolina",584,308,69,0,0,17,84,0.14383562,0f4efd46-9d3c-46e6-8c94-e1604721a462,16947969.828125,18347.7641950394
4190,37,119,005305,3,371190053053,Block Group 3,0016404,"Block Group 3, Census Tract 53.05, Mecklenburg County, North Carolina",808,667,120,72,0,0,295,0.36509901,bcc7a4ac-3d33-47b1-8703-50099c96a2e1,9808952.62139893,14837.2095885058
4191,37,119,005918,1,371190059181,Block Group 1,0016610,"Block Group 1, Census Tract 59.18, Mecklenburg County, North Carolina",1924,1662,375,27,0,47,756,0.39293139,b0bb660b-9a8c-4810-8677-5e3fbc03d9fc,55381582.1436157,34426.1079244521
